"cod_hito";"rpm";"limite_exigido";"frecuencia_exigida";"fecha_emision"
13870;535;"6 - 8,5";96;"03-07-2015"
13871;535;"6 - 8,5";96;"03-07-2015"
13872;535;"6 - 8,5";96;"03-07-2015"
13873;535;"6 - 8,5";96;"03-07-2015"
13874;535;"6 - 8,5";96;"03-07-2015"
13875;535;"6 - 8,5";96;"03-07-2015"
13876;535;"6 - 8,5";96;"03-07-2015"
13877;535;"6 - 8,5";96;"03-07-2015"
13878;535;"6 - 8,5";96;"03-07-2015"
13879;535;"6 - 8,5";96;"03-07-2015"
13880;535;"6 - 8,5";96;"03-07-2015"
13881;535;"6 - 8,5";96;"03-07-2015"
13882;535;"6 - 8,5";96;"03-07-2015"
13883;535;"6 - 8,5";96;"03-07-2015"
13884;535;"6 - 8,5";96;"03-07-2015"
13885;535;"6 - 8,5";96;"03-07-2015"
13886;535;"6 - 8,5";96;"03-07-2015"
13887;535;"6 - 8,5";96;"03-07-2015"
13888;535;"6 - 8,5";96;"03-07-2015"
13889;535;"6 - 8,5";96;"03-07-2015"
13890;535;"6 - 8,5";96;"03-07-2015"
13891;535;"6 - 8,5";96;"03-07-2015"
13892;535;"6 - 8,5";96;"03-07-2015"
13893;535;"6 - 8,5";96;"03-07-2015"
13894;535;"6 - 8,5";96;"03-07-2015"
13895;535;"6 - 8,5";96;"03-07-2015"
13896;535;"6 - 8,5";96;"03-07-2015"
13897;535;"6 - 8,5";96;"03-07-2015"
13898;535;"6 - 8,5";96;"03-07-2015"
13899;535;"6 - 8,5";96;"03-07-2015"
13900;535;"6 - 8,5";96;"03-07-2015"
13901;535;"6 - 8,5";96;"03-07-2015"
13902;535;"6 - 8,5";96;"03-07-2015"
13903;535;"6 - 8,5";96;"03-07-2015"
13904;535;"6 - 8,5";96;"03-07-2015"
13905;535;"6 - 8,5";96;"03-07-2015"
13906;535;"6 - 8,5";96;"03-07-2015"
13907;535;"6 - 8,5";96;"03-07-2015"
13908;535;"6 - 8,5";96;"03-07-2015"
13909;535;"6 - 8,5";96;"03-07-2015"
13910;535;"6 - 8,5";96;"03-07-2015"
13911;535;"6 - 8,5";96;"03-07-2015"
13912;535;"6 - 8,5";96;"03-07-2015"
13913;535;"6 - 8,5";96;"03-07-2015"
13914;535;"6 - 8,5";96;"03-07-2015"
13915;535;"6 - 8,5";96;"03-07-2015"
13916;535;"6 - 8,5";96;"03-07-2015"
13917;535;"6 - 8,5";96;"03-07-2015"
13918;535;"6 - 8,5";96;"03-07-2015"
13919;535;"6 - 8,5";96;"03-07-2015"
13920;535;"6 - 8,5";96;"03-07-2015"
13921;535;"6 - 8,5";96;"03-07-2015"
13922;535;"6 - 8,5";96;"03-07-2015"
13923;535;"6 - 8,5";96;"03-07-2015"
13924;535;"6 - 8,5";96;"03-07-2015"
13925;535;"6 - 8,5";96;"03-07-2015"
13926;535;"6 - 8,5";96;"03-07-2015"
13927;535;"6 - 8,5";96;"03-07-2015"
13928;535;"6 - 8,5";96;"03-07-2015"
13929;535;"6 - 8,5";96;"03-07-2015"
13930;535;"6 - 8,5";96;"03-07-2015"
13931;535;"6 - 8,5";96;"03-07-2015"
13932;535;"6 - 8,5";96;"03-07-2015"
13933;535;"6 - 8,5";96;"03-07-2015"
13934;535;"6 - 8,5";96;"03-07-2015"
13935;535;"6 - 8,5";96;"03-07-2015"
13936;535;"6 - 8,5";96;"03-07-2015"
13937;535;"6 - 8,5";96;"03-07-2015"
13938;535;"6 - 8,5";96;"03-07-2015"
13939;535;"6 - 8,5";96;"03-07-2015"
13940;535;"6 - 8,5";96;"03-07-2015"
13941;535;"6 - 8,5";96;"03-07-2015"
13942;535;"6 - 8,5";96;"03-07-2015"
13943;535;"6 - 8,5";96;"03-07-2015"
13944;535;"6 - 8,5";96;"03-07-2015"
13945;535;"6 - 8,5";96;"03-07-2015"
13946;535;"6 - 8,5";96;"03-07-2015"
13947;535;"6 - 8,5";96;"03-07-2015"
13948;535;"6 - 8,5";96;"03-07-2015"
13949;535;"6 - 8,5";96;"03-07-2015"
13950;535;"6 - 8,5";96;"03-07-2015"
13951;535;"6 - 8,5";96;"03-07-2015"
13952;535;"6 - 8,5";96;"03-07-2015"
13953;535;"6 - 8,5";96;"03-07-2015"
13954;535;"6 - 8,5";96;"03-07-2015"
13955;535;"6 - 8,5";96;"03-07-2015"
13956;535;"6 - 8,5";96;"03-07-2015"
13957;535;"6 - 8,5";96;"03-07-2015"
13958;535;"6 - 8,5";96;"03-07-2015"
13959;535;"6 - 8,5";96;"03-07-2015"
13960;535;"6 - 8,5";96;"03-07-2015"
13961;535;"6 - 8,5";96;"03-07-2015"
13962;535;"6 - 8,5";96;"03-07-2015"
13963;535;"6 - 8,5";96;"03-07-2015"
13964;535;"6 - 8,5";96;"03-07-2015"
13965;535;"6 - 8,5";96;"03-07-2015"
13966;535;"6 - 8,5";96;"03-07-2015"
13967;535;"6 - 8,5";96;"03-07-2015"
13968;535;"6 - 8,5";96;"03-07-2015"
13969;535;"6 - 8,5";96;"03-07-2015"
13970;535;"6 - 8,5";96;"03-07-2015"
13971;535;"6 - 8,5";96;"03-07-2015"
13972;535;"6 - 8,5";96;"03-07-2015"
13973;535;"6 - 8,5";96;"03-07-2015"
13974;535;"6 - 8,5";96;"03-07-2015"
13975;535;"6 - 8,5";96;"03-07-2015"
13976;535;"6 - 8,5";96;"03-07-2015"
13977;535;"6 - 8,5";96;"03-07-2015"
13978;535;"6 - 8,5";96;"03-07-2015"
13979;535;"6 - 8,5";96;"03-07-2015"
13980;535;"6 - 8,5";96;"03-07-2015"
13981;535;"6 - 8,5";96;"03-07-2015"
13982;535;"6 - 8,5";96;"03-07-2015"
13983;535;"6 - 8,5";96;"03-07-2015"
13984;535;"6 - 8,5";96;"03-07-2015"
13985;535;"6 - 8,5";96;"03-07-2015"
13986;535;"6 - 8,5";96;"03-07-2015"
13987;535;"6 - 8,5";96;"03-07-2015"
13988;535;"6 - 8,5";96;"03-07-2015"
13989;535;"6 - 8,5";96;"03-07-2015"
13990;535;"6 - 8,5";96;"03-07-2015"
13991;535;"6 - 8,5";96;"03-07-2015"
13992;535;"6 - 8,5";96;"03-07-2015"
13993;535;"6 - 8,5";96;"03-07-2015"
13994;535;"6 - 8,5";96;"03-07-2015"
13995;535;"6 - 8,5";96;"03-07-2015"
13996;535;"6 - 8,5";96;"03-07-2015"
13997;535;"6 - 8,5";96;"03-07-2015"
13998;535;"6 - 8,5";96;"03-07-2015"
13999;535;"6 - 8,5";96;"03-07-2015"
14000;535;"6 - 8,5";96;"03-07-2015"
14001;535;"6 - 8,5";96;"03-07-2015"
14002;535;"6 - 8,5";96;"03-07-2015"
14003;535;"6 - 8,5";96;"03-07-2015"
14004;535;"6 - 8,5";96;"03-07-2015"
14005;535;"6 - 8,5";96;"03-07-2015"
14006;535;"6 - 8,5";96;"03-07-2015"
14007;535;"6 - 8,5";96;"03-07-2015"
14008;535;"6 - 8,5";96;"03-07-2015"
14009;535;"6 - 8,5";96;"03-07-2015"
14010;535;"6 - 8,5";96;"03-07-2015"
14011;535;"6 - 8,5";96;"03-07-2015"
14012;535;"6 - 8,5";96;"03-07-2015"
14013;535;"6 - 8,5";96;"03-07-2015"
14014;535;"6 - 8,5";96;"03-07-2015"
14015;535;"6 - 8,5";96;"03-07-2015"
14016;535;"6 - 8,5";96;"03-07-2015"
14017;535;"6 - 8,5";96;"03-07-2015"
14018;535;"6 - 8,5";96;"03-07-2015"
14019;535;"6 - 8,5";96;"03-07-2015"
14020;535;"6 - 8,5";96;"03-07-2015"
14021;535;"6 - 8,5";96;"03-07-2015"
14022;535;"6 - 8,5";96;"03-07-2015"
14023;535;"6 - 8,5";96;"03-07-2015"
14024;535;"6 - 8,5";96;"03-07-2015"
14025;535;"6 - 8,5";96;"03-07-2015"
14026;535;"6 - 8,5";96;"03-07-2015"
14027;535;"6 - 8,5";96;"03-07-2015"
14028;535;"6 - 8,5";96;"03-07-2015"
14029;535;"6 - 8,5";96;"03-07-2015"
14030;535;"6 - 8,5";96;"03-07-2015"
14031;535;"6 - 8,5";96;"03-07-2015"
14032;535;"6 - 8,5";96;"03-07-2015"
14033;535;"6 - 8,5";96;"03-07-2015"
14034;535;"6 - 8,5";96;"03-07-2015"
14035;535;"6 - 8,5";96;"03-07-2015"
14036;535;"6 - 8,5";96;"03-07-2015"
14037;535;"6 - 8,5";96;"03-07-2015"
14038;535;"6 - 8,5";96;"03-07-2015"
14039;535;"6 - 8,5";96;"03-07-2015"
14040;535;"6 - 8,5";96;"03-07-2015"
14041;535;"6 - 8,5";96;"03-07-2015"
14042;535;"6 - 8,5";96;"03-07-2015"
14043;535;"6 - 8,5";96;"03-07-2015"
14044;535;"6 - 8,5";96;"03-07-2015"
14045;535;"6 - 8,5";96;"03-07-2015"
14046;535;"6 - 8,5";96;"03-07-2015"
14047;535;"6 - 8,5";96;"03-07-2015"
14048;535;"6 - 8,5";96;"03-07-2015"
14049;535;"6 - 8,5";96;"03-07-2015"
14050;535;"6 - 8,5";96;"03-07-2015"
14051;535;"6 - 8,5";96;"03-07-2015"
14052;535;"6 - 8,5";96;"03-07-2015"
14053;535;"6 - 8,5";96;"03-07-2015"
14054;535;"6 - 8,5";96;"03-07-2015"
14055;535;"6 - 8,5";96;"03-07-2015"
14056;535;"6 - 8,5";96;"03-07-2015"
14057;535;"6 - 8,5";96;"03-07-2015"
14058;535;"6 - 8,5";96;"03-07-2015"
14059;535;"6 - 8,5";96;"03-07-2015"
14060;535;"6 - 8,5";96;"03-07-2015"
14061;535;"6 - 8,5";96;"03-07-2015"
14062;535;"6 - 8,5";96;"03-07-2015"
14063;535;"6 - 8,5";96;"03-07-2015"
14064;535;"6 - 8,5";96;"03-07-2015"
14065;535;"6 - 8,5";96;"03-07-2015"
14066;535;"6 - 8,5";96;"03-07-2015"
14067;535;"6 - 8,5";96;"03-07-2015"
14068;535;"6 - 8,5";96;"03-07-2015"
14069;535;"6 - 8,5";96;"03-07-2015"
14070;535;"6 - 8,5";96;"03-07-2015"
14071;535;"6 - 8,5";96;"03-07-2015"
14072;535;"6 - 8,5";96;"03-07-2015"
14073;535;"6 - 8,5";96;"03-07-2015"
14074;535;"6 - 8,5";96;"03-07-2015"
14075;535;"6 - 8,5";96;"03-07-2015"
14076;535;"6 - 8,5";96;"03-07-2015"
14077;535;"6 - 8,5";96;"03-07-2015"
14078;535;"6 - 8,5";96;"03-07-2015"
14079;535;"6 - 8,5";96;"03-07-2015"
14080;535;"6 - 8,5";96;"03-07-2015"
14081;535;"6 - 8,5";96;"03-07-2015"
14082;535;"6 - 8,5";96;"03-07-2015"
14083;535;"6 - 8,5";96;"03-07-2015"
14084;535;"6 - 8,5";96;"03-07-2015"
14085;535;"6 - 8,5";96;"03-07-2015"
14086;535;"6 - 8,5";96;"03-07-2015"
14087;535;"6 - 8,5";96;"03-07-2015"
14088;535;"6 - 8,5";96;"03-07-2015"
14089;535;"6 - 8,5";96;"03-07-2015"
14090;535;"6 - 8,5";96;"03-07-2015"
14091;535;"6 - 8,5";96;"03-07-2015"
14092;535;"6 - 8,5";96;"03-07-2015"
14093;535;"6 - 8,5";96;"03-07-2015"
14094;535;"6 - 8,5";96;"03-07-2015"
14095;535;"6 - 8,5";96;"03-07-2015"
14096;535;"6 - 8,5";96;"03-07-2015"
14097;535;"6 - 8,5";96;"03-07-2015"
14098;535;"6 - 8,5";96;"03-07-2015"
14099;535;"6 - 8,5";96;"03-07-2015"
14100;535;"6 - 8,5";96;"03-07-2015"
14101;535;"6 - 8,5";96;"03-07-2015"
14102;535;"6 - 8,5";96;"03-07-2015"
14103;535;"6 - 8,5";96;"03-07-2015"
14104;535;"6 - 8,5";96;"03-07-2015"
14105;535;"6 - 8,5";96;"03-07-2015"
14106;535;"6 - 8,5";96;"03-07-2015"
14107;535;"6 - 8,5";96;"03-07-2015"
14108;535;"6 - 8,5";96;"03-07-2015"
14109;535;"6 - 8,5";96;"03-07-2015"
14110;535;"6 - 8,5";96;"03-07-2015"
14111;535;"6 - 8,5";96;"03-07-2015"
14112;535;"6 - 8,5";96;"03-07-2015"
14113;535;"6 - 8,5";96;"03-07-2015"
14114;535;"6 - 8,5";96;"03-07-2015"
14115;535;"6 - 8,5";96;"03-07-2015"
14116;535;"6 - 8,5";96;"03-07-2015"
14117;535;"6 - 8,5";96;"03-07-2015"
14118;535;"6 - 8,5";96;"03-07-2015"
14119;535;"6 - 8,5";96;"03-07-2015"
14120;535;"6 - 8,5";96;"03-07-2015"
14121;535;"6 - 8,5";96;"03-07-2015"
14122;535;"6 - 8,5";96;"03-07-2015"
14123;535;"6 - 8,5";96;"03-07-2015"
14124;535;"6 - 8,5";96;"03-07-2015"
14125;535;"6 - 8,5";96;"03-07-2015"
14126;535;"6 - 8,5";96;"03-07-2015"
14127;535;"6 - 8,5";96;"03-07-2015"
14128;535;"6 - 8,5";96;"03-07-2015"
14129;535;"6 - 8,5";96;"03-07-2015"
14130;535;"6 - 8,5";96;"03-07-2015"
14131;535;"6 - 8,5";96;"03-07-2015"
14132;535;"6 - 8,5";96;"03-07-2015"
14133;535;"6 - 8,5";96;"03-07-2015"
14134;535;"6 - 8,5";96;"03-07-2015"
14135;535;"6 - 8,5";96;"03-07-2015"
14136;535;"6 - 8,5";96;"03-07-2015"
14137;535;"6 - 8,5";96;"03-07-2015"
14138;535;"6 - 8,5";96;"03-07-2015"
14139;535;"6 - 8,5";96;"03-07-2015"
14140;535;"6 - 8,5";96;"03-07-2015"
14141;535;"6 - 8,5";96;"03-07-2015"
14142;535;"6 - 8,5";96;"03-07-2015"
14143;535;"6 - 8,5";96;"03-07-2015"
14144;535;"6 - 8,5";96;"03-07-2015"
14145;535;"6 - 8,5";96;"03-07-2015"
14146;535;"6 - 8,5";96;"03-07-2015"
14147;535;"6 - 8,5";96;"03-07-2015"
14148;535;"6 - 8,5";96;"03-07-2015"
14149;535;"6 - 8,5";96;"03-07-2015"
14150;535;"6 - 8,5";96;"03-07-2015"
14151;535;"6 - 8,5";96;"03-07-2015"
14152;535;"6 - 8,5";96;"03-07-2015"
14153;535;"6 - 8,5";96;"03-07-2015"
14154;535;"6 - 8,5";96;"03-07-2015"
14155;535;"6 - 8,5";96;"03-07-2015"
14156;535;"6 - 8,5";96;"03-07-2015"
14157;535;"6 - 8,5";96;"03-07-2015"
14158;535;"6 - 8,5";96;"03-07-2015"
14159;535;"6 - 8,5";96;"03-07-2015"
14160;535;"6 - 8,5";96;"03-07-2015"
14161;535;"6 - 8,5";96;"03-07-2015"
14162;535;"6 - 8,5";96;"03-07-2015"
14163;535;"6 - 8,5";96;"03-07-2015"
14164;535;"6 - 8,5";96;"03-07-2015"
14165;535;"6 - 8,5";96;"03-07-2015"
14166;535;"6 - 8,5";96;"03-07-2015"
14167;535;"6 - 8,5";96;"03-07-2015"
14168;535;"6 - 8,5";96;"03-07-2015"
14169;535;"6 - 8,5";96;"03-07-2015"
14170;535;"6 - 8,5";96;"03-07-2015"
14171;535;"6 - 8,5";96;"03-07-2015"
14172;535;"6 - 8,5";96;"03-07-2015"
14173;535;"6 - 8,5";96;"03-07-2015"
14174;535;"6 - 8,5";96;"03-07-2015"
14175;535;"6 - 8,5";96;"03-07-2015"
14176;535;"6 - 8,5";96;"03-07-2015"
14177;535;"6 - 8,5";96;"03-07-2015"
14178;535;"6 - 8,5";96;"03-07-2015"
14179;535;"6 - 8,5";96;"03-07-2015"
14180;535;"6 - 8,5";96;"03-07-2015"
14181;535;"6 - 8,5";96;"03-07-2015"
14182;535;"6 - 8,5";96;"03-07-2015"
14183;535;"6 - 8,5";96;"03-07-2015"
14184;535;"6 - 8,5";96;"03-07-2015"
14185;535;"6 - 8,5";96;"03-07-2015"
14186;535;"6 - 8,5";96;"03-07-2015"
14187;535;"6 - 8,5";96;"03-07-2015"
14188;535;"6 - 8,5";96;"03-07-2015"
14189;535;"6 - 8,5";96;"03-07-2015"
14190;535;"6 - 8,5";96;"03-07-2015"
14191;535;"6 - 8,5";96;"03-07-2015"
14192;535;"6 - 8,5";96;"03-07-2015"
14193;535;"6 - 8,5";96;"03-07-2015"
14194;535;"6 - 8,5";96;"03-07-2015"
14195;535;"6 - 8,5";96;"03-07-2015"
14196;535;"6 - 8,5";96;"03-07-2015"
14197;535;"6 - 8,5";96;"03-07-2015"
14198;535;"6 - 8,5";96;"03-07-2015"
14199;535;"6 - 8,5";96;"03-07-2015"
14200;535;"6 - 8,5";96;"03-07-2015"
14201;535;"6 - 8,5";96;"03-07-2015"
14202;535;"6 - 8,5";96;"03-07-2015"
14203;535;"6 - 8,5";96;"03-07-2015"
14204;535;"6 - 8,5";96;"03-07-2015"
14205;535;"6 - 8,5";96;"03-07-2015"
14206;535;"6 - 8,5";96;"03-07-2015"
14207;535;"6 - 8,5";96;"03-07-2015"
14208;535;"6 - 8,5";96;"03-07-2015"
14209;535;"6 - 8,5";96;"03-07-2015"
14210;535;"6 - 8,5";96;"03-07-2015"
14211;535;"6 - 8,5";96;"03-07-2015"
14212;535;"6 - 8,5";96;"03-07-2015"
14213;535;"6 - 8,5";96;"03-07-2015"
14214;535;"6 - 8,5";96;"03-07-2015"
14215;535;"6 - 8,5";96;"03-07-2015"
14216;535;"6 - 8,5";96;"03-07-2015"
14217;535;"6 - 8,5";96;"03-07-2015"
14218;535;"6 - 8,5";96;"03-07-2015"
14219;535;"6 - 8,5";96;"03-07-2015"
14220;535;"6 - 8,5";96;"03-07-2015"
14221;535;"6 - 8,5";96;"03-07-2015"
14222;535;"6 - 8,5";96;"03-07-2015"
14223;535;"6 - 8,5";96;"03-07-2015"
14224;535;"6 - 8,5";96;"03-07-2015"
14225;535;"6 - 8,5";96;"03-07-2015"
14226;535;"6 - 8,5";96;"03-07-2015"
14227;535;"6 - 8,5";96;"03-07-2015"
14228;535;"6 - 8,5";96;"03-07-2015"
14229;535;"6 - 8,5";96;"03-07-2015"
14230;535;"6 - 8,5";96;"03-07-2015"
14231;535;"6 - 8,5";96;"03-07-2015"
14232;535;"6 - 8,5";96;"03-07-2015"
14233;535;"6 - 8,5";96;"03-07-2015"
14234;535;"6 - 8,5";96;"03-07-2015"
14235;535;"6 - 8,5";96;"03-07-2015"
14236;535;"6 - 8,5";96;"03-07-2015"
14237;535;"6 - 8,5";96;"03-07-2015"
14238;535;"6 - 8,5";96;"03-07-2015"
14239;535;"6 - 8,5";96;"03-07-2015"
14240;535;"6 - 8,5";96;"03-07-2015"
14241;535;"6 - 8,5";96;"03-07-2015"
14242;535;"6 - 8,5";96;"03-07-2015"
14243;535;"6 - 8,5";96;"03-07-2015"
14244;535;"6 - 8,5";96;"03-07-2015"
14245;535;"6 - 8,5";96;"03-07-2015"
14246;535;"6 - 8,5";96;"03-07-2015"
14247;535;"6 - 8,5";96;"03-07-2015"
14248;535;"6 - 8,5";96;"03-07-2015"
14249;535;"6 - 8,5";96;"03-07-2015"
14250;535;"6 - 8,5";96;"03-07-2015"
14251;535;"6 - 8,5";96;"03-07-2015"
14252;535;"6 - 8,5";96;"03-07-2015"
14253;535;"6 - 8,5";96;"03-07-2015"
14254;535;"6 - 8,5";96;"03-07-2015"
14255;535;"6 - 8,5";96;"03-07-2015"
14256;535;"6 - 8,5";96;"03-07-2015"
14257;535;"6 - 8,5";96;"03-07-2015"
14258;535;"6 - 8,5";96;"03-07-2015"
14259;535;"6 - 8,5";96;"03-07-2015"
